"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 07, 2011","1,365.13","1,377.13","1,383.25","1,360.63","-","-0.88%"
"Apr 06, 2011","1,377.25","1,375.63","1,388.13","1,372.38","-","0.14%"
"Apr 05, 2011","1,375.38","1,385.50","1,389.63","1,366.63","-","-0.72%"
"Apr 04, 2011","1,385.38","1,399.38","1,402.50","1,379.63","-","-1.01%"
"Apr 03, 2011","1,399.50","1,393.75","1,402.63","1,391.75","-","0.40%"
"Apr 01, 2011","1,393.88","1,416.50","1,416.50","1,386.88","-","-1.61%"
"Mar 31, 2011","1,416.63","1,374.13","1,431.75","1,368.63","-","3.10%"
"Mar 30, 2011","1,374.00","1,363.88","1,374.00","1,356.38","-","0.76%"
"Mar 29, 2011","1,363.63","1,343.00","1,368.88","1,342.38","-","1.51%"
"Mar 28, 2011","1,343.38","1,359.25","1,368.88","1,341.25","-","-1.18%"
"Mar 27, 2011","1,359.38","1,359.88","1,361.50","1,357.25","-","0.06%"
"Mar 25, 2011","1,358.50","1,358.75","1,367.50","1,353.38","-","-0.06%"
"Mar 24, 2011","1,359.25","1,350.25","1,361.38","1,338.38","-","0.77%"
"Mar 23, 2011","1,348.88","1,363.50","1,372.13","1,348.88","-","-1.08%"
"Mar 22, 2011","1,363.63","1,359.13","1,368.75","1,344.63","-","0.28%"
"Mar 21, 2011","1,359.75","1,371.38","1,373.50","1,351.63","-","-0.84%"
"Mar 20, 2011","1,371.25","1,370.00","1,376.63","1,365.25","-","0.64%"
"Mar 18, 2011","1,362.50","1,338.38","1,384.50","1,322.88","-","1.79%"
"Mar 17, 2011","1,338.50","1,293.38","1,346.63","1,290.38","-","3.47%"
"Mar 16, 2011","1,293.63","1,282.13","1,307.88","1,277.25","-","1.05%"
"Mar 15, 2011","1,280.13","1,340.88","1,343.38","1,269.00","-","-4.52%"
"Mar 14, 2011","1,340.75","1,329.38","1,346.00","1,317.88","-","0.87%"
"Mar 13, 2011","1,329.25","1,335.88","1,340.13","1,326.63","-","-0.46%"
"Mar 11, 2011","1,335.38","1,353.38","1,359.25","1,305.13","-","-1.33%"
"Mar 10, 2011","1,353.38","1,350.63","1,368.63","1,322.13","-","0.32%"
"Mar 09, 2011","1,349.13","1,381.88","1,383.38","1,347.63","-","-2.33%"
"Mar 08, 2011","1,381.38","1,395.50","1,395.50","1,374.13","-","-0.93%"
"Mar 07, 2011","1,394.38","1,412.25","1,418.88","1,384.63","-","-1.43%"
"Mar 04, 2011","1,414.63","1,410.38","1,423.63","1,396.38","-","0.40%"
"Mar 03, 2011","1,409.00","1,390.50","1,414.25","1,384.63","-","1.14%"
"Mar 02, 2011","1,393.13","1,374.13","1,398.88","1,372.13","-","1.44%"
"Mar 01, 2011","1,373.38","1,368.25","1,376.13","1,354.00","-","0.55%"
"Feb 28, 2011","1,365.88","1,378.25","1,380.13","1,358.00","-","-0.47%"
"Feb 25, 2011","1,372.38","1,328.88","1,391.38","1,322.50","-","3.29%"
"Feb 24, 2011","1,328.63","1,332.63","1,336.50","1,310.50","-","-0.34%"
"Feb 23, 2011","1,333.13","1,309.88","1,333.13","1,296.25","-","1.70%"
"Feb 22, 2011","1,310.88","1,390.75","1,397.50","1,310.50","-","-4.73%"
"Feb 18, 2011","1,376.00","1,417.88","1,421.50","1,373.38","-","-2.88%"
"Feb 17, 2011","1,416.75","1,378.75","1,418.75","1,378.75","-","3.78%"
"Feb 16, 2011","1,365.13","1,369.25","1,375.88","1,357.13","-","-0.26%"
"Feb 15, 2011","1,368.63","1,403.63","1,409.13","1,366.13","-","-2.58%"
"Feb 14, 2011","1,404.88","1,419.13","1,424.63","1,400.25","-","-0.71%"
"Feb 11, 2011","1,414.88","1,432.38","1,442.13","1,410.38","-","-1.08%"
"Feb 10, 2011","1,430.38","1,451.50","1,454.88","1,430.38","-","-1.44%"
"Feb 09, 2011","1,451.25","1,438.50","1,455.75","1,435.13","-","1.11%"
"Feb 08, 2011","1,435.38","1,425.88","1,435.38","1,414.25","-","0.83%"
"Feb 07, 2011","1,423.63","1,437.38","1,443.63","1,421.38","-","-0.71%"
"Feb 04, 2011","1,433.88","1,437.63","1,442.63","1,422.38","-","-0.02%"
"Feb 03, 2011","1,434.13","1,445.13","1,452.38","1,434.13","-","-0.74%"
"Feb 02, 2011","1,444.88","1,439.63","1,451.63","1,433.63","-","0.32%"
"Feb 01, 2011","1,440.25","1,413.50","1,440.25","1,408.38","-","2.08%"
"Jan 31, 2011","1,410.88","1,395.75","1,413.13","1,394.88","-","0.79%"
"Jan 28, 2011","1,399.88","1,401.75","1,423.13","1,392.75","-","0.00%"
"Jan 27, 2011","1,399.88","1,389.63","1,399.88","1,378.13","-","1.01%"
"Jan 26, 2011","1,385.88","1,375.63","1,390.88","1,364.38","-","0.95%"
"Jan 25, 2011","1,372.88","1,404.00","1,407.88","1,370.38","-","-2.16%"
"Jan 24, 2011","1,403.13","1,411.50","1,426.38","1,396.88","-","-0.67%"
"Jan 23, 2011","1,412.63","1,412.63","1,412.63","1,412.63","-","0.11%"
"Jan 21, 2011","1,411.13","1,415.88","1,426.63","1,405.38","-","-0.14%"
"Jan 20, 2011","1,413.13","1,413.75","1,420.88","1,384.00","-","-0.14%"
"Jan 19, 2011","1,415.13","1,417.38","1,431.63","1,402.38","-","0.00%"
"Jan 18, 2011","1,415.13","1,412.50","1,429.88","1,408.50","-","-0.55%"
"Jan 17, 2011","1,423.00","1,423.00","1,423.00","1,423.00","-","-0.06%"
"Jan 14, 2011","1,423.88","1,418.75","1,423.88","1,405.38","-","0.19%"
"Jan 13, 2011","1,421.13","1,418.75","1,432.38","1,413.00","-","0.28%"
"Jan 12, 2011","1,417.13","1,359.63","1,426.88","1,359.13","-","4.33%"
