DATE,ECBASSETSW
2018-02-02,4491151
2018-02-09,4493672
2018-02-16,4504781
2018-02-23,4511540
2018-03-02,4519360
2018-03-09,4530083
2018-03-16,4532642
2018-03-23,4539072
2018-03-30,4529579
2018-04-06,4531497
2018-04-13,4548153
2018-04-20,4543973
2018-04-27,4554344
2018-05-04,4552564
2018-05-11,4562061
2018-05-18,4561577
2018-05-25,4562651
2018-06-01,4567744
2018-06-08,4577214
2018-06-15,4578465
2018-06-22,4585571
2018-06-29,4592518
2018-07-06,4591235.0
2018-07-13,4599857
2018-07-20,4605004
2018-07-27,4612006
2018-08-03,4602258
2018-08-10,4608108
2018-08-17,4614032
2018-08-24,4619437
2018-08-31,4621355
2018-09-07,4633963
2018-09-14,4638843
2018-09-21,4645821
2018-09-28,4619792
2018-10-05,4625045
2018-10-12,4632893
2018-10-19,4628278
2018-10-26,4624792
2018-11-02,4622163
2018-11-09,4626222
2018-11-16,4638303
2018-11-23,4646891.0
2018-11-30,4660299
2018-12-07,4662985
2018-12-14,4668116
2018-12-21,4674919
2018-12-28,4669003
2019-01-04,4694301.0
2019-01-11,4703402
2019-01-18,4705948
2019-01-25,4708899
2019-02-01,4695505
2019-02-08,4696466
2019-02-15,4702787
2019-02-22,4692062
2019-03-01,4686299
2019-03-08,4691325
2019-03-15,4680588
2019-03-22,4676984
2019-03-29,4695785
2019-04-05,4699605
2019-04-12,4701826
2019-04-19,4707931
2019-04-26,4697616
2019-05-03,4683918
2019-05-10,4685377
2019-05-17,4684866
2019-05-24,4692616
2019-05-31,4685961
2019-06-07,4690441
2019-06-14,4681351
2019-06-21,4682680
2019-06-28,4692614
2019-07-05,4677463
2019-07-12,4684376
2019-07-19,4688182
2019-07-26,4685716
2019-08-02,4679180
2019-08-09,4677751
2019-08-16,4676077
2019-08-23,4681001
2019-08-30,4683714
2019-09-06,4681637
2019-09-13,4674603
2019-09-20,4662978
2019-09-27,4638104
2019-10-04,4695111
2019-10-11,4692260
2019-10-18,4687115
2019-10-25,4680875
2019-11-01,4676258
2019-11-08,4684135
2019-11-15,4691919
2019-11-22,4696531
2019-11-29,4698291
2019-12-06,4709281
2019-12-13,4713568
2019-12-20,4682592
2019-12-27,4691998
2020-01-03,4664037
