DATE,INFECTDISEMVTRACKD
2012-08-30,0.00000
2012-08-31,0.00000
2012-09-01,0.00000
2012-09-02,0.00000
2012-09-03,0.00000
2012-09-04,0.00000
2012-09-05,0.00000
2012-09-06,0.00000
2012-09-07,0.00000
2012-09-08,0.00000
2012-09-09,0.00000
2012-09-10,0.00000
2012-09-11,0.00000
2012-09-12,0.40000
2012-09-13,0.00000
2012-09-14,0.00000
2012-09-15,0.00000
2012-09-16,0.54000
2012-09-17,0.00000
2012-09-18,0.52000
2012-09-19,0.00000
2012-09-20,0.00000
2012-09-21,0.00000
2012-09-22,1.21000
2012-09-23,1.08000
2012-09-24,0.00000
2012-09-25,0.51000
2012-09-26,0.00000
2012-09-27,0.65000
2012-09-28,0.00000
2012-09-29,0.00000
2012-09-30,0.00000
2012-10-01,0.00000
2012-10-02,0.00000
2012-10-03,1.19000
2012-10-04,0.00000
2012-10-05,0.82000
2012-10-06,1.76000
2012-10-07,1.06000
2012-10-08,0.72000
2012-10-09,0.51000
2012-10-10,0.79000
2012-10-11,0.00000
2012-10-12,0.00000
2012-10-13,0.00000
2012-10-14,0.00000
2012-10-15,0.00000
2012-10-16,0.51000
2012-10-17,0.39000
2012-10-18,0.00000
2012-10-19,0.38000
2012-10-20,1.19000
2012-10-21,0.00000
2012-10-22,0.00000
2012-10-23,0.00000
2012-10-24,0.00000
2012-10-25,1.28000
2012-10-26,0.41000
2012-10-27,0.00000
2012-10-28,0.00000
2012-10-29,0.00000
2012-10-30,0.00000
2012-10-31,0.00000
2012-11-01,0.00000
2012-11-02,0.41000
2012-11-03,0.00000
2012-11-04,0.53000
2012-11-05,0.00000
2012-11-06,0.00000
2012-11-07,0.00000
2012-11-08,0.00000
2012-11-09,0.00000
2012-11-10,0.00000
2012-11-11,1.61000
2012-11-12,0.00000
2012-11-13,0.00000
2012-11-14,0.40000
2012-11-15,0.33000
2012-11-16,0.00000
2012-11-17,0.00000
2012-11-18,0.00000
2012-11-19,0.00000
2012-11-20,0.00000
2012-11-21,0.40000
2012-11-22,0.00000
2012-11-23,0.00000
2012-11-24,0.00000
2012-11-25,0.00000
2012-11-26,0.00000
2012-11-27,0.00000
2012-11-28,0.41000
2012-11-29,0.34000
2012-11-30,0.00000
2012-12-01,0.00000
2012-12-02,0.00000
2012-12-03,0.00000
2012-12-04,1.07000
2012-12-05,0.00000
2012-12-06,0.00000
2012-12-07,0.00000
2012-12-08,0.00000
2012-12-09,1.10000
2012-12-10,0.00000
2012-12-11,0.00000
2012-12-12,0.00000
2012-12-13,0.00000
2012-12-14,0.44000
2012-12-15,0.00000
2012-12-16,0.00000
2012-12-17,0.00000
2012-12-18,0.55000
2012-12-19,0.00000
2012-12-20,0.00000
2012-12-21,0.00000
2012-12-22,0.00000
2012-12-23,0.62000
2012-12-24,1.69000
2012-12-25,1.11000
2012-12-26,0.00000
2012-12-27,0.42000
2012-12-28,0.00000
2012-12-29,0.73000
2012-12-30,1.25000
2012-12-31,0.00000
2013-01-01,0.94000
2013-01-02,0.52000
2013-01-03,0.00000
2013-01-04,0.00000
2013-01-05,0.00000
2013-01-06,1.74000
2013-01-07,0.00000
2013-01-08,0.00000
2013-01-09,0.00000
2013-01-10,0.34000
2013-01-11,0.87000
2013-01-12,0.66000
2013-01-13,1.11000
2013-01-14,0.00000
2013-01-15,0.00000
2013-01-16,0.00000
2013-01-17,0.00000
2013-01-18,0.00000
2013-01-19,0.00000
2013-01-20,0.00000
2013-01-21,0.74000
2013-01-22,0.55000
2013-01-23,0.81000
2013-01-24,0.00000
2013-01-25,0.00000
2013-01-26,1.30000
2013-01-27,0.55000
2013-01-28,0.00000
2013-01-29,0.51000
2013-01-30,0.39000
2013-01-31,0.33000
2013-02-01,0.00000
2013-02-02,0.00000
2013-02-03,1.10000
2013-02-04,0.00000
2013-02-05,0.52000
2013-02-06,1.58000
2013-02-07,0.33000
2013-02-08,0.00000
2013-02-09,0.64000
2013-02-10,0.00000
2013-02-11,0.00000
2013-02-12,0.51000
2013-02-13,0.80000
2013-02-14,0.67000
2013-02-15,0.00000
2013-02-16,0.00000
2013-02-17,1.61000
2013-02-18,0.00000
2013-02-19,0.00000
2013-02-20,0.80000
2013-02-21,0.32000
2013-02-22,0.00000
2013-02-23,0.00000
2013-02-24,0.00000
2013-02-25,0.00000
2013-02-26,0.00000
2013-02-27,0.79000
2013-02-28,0.58000
2013-03-01,0.00000
2013-03-02,0.00000
2013-03-03,0.00000
2013-03-04,0.00000
2013-03-05,0.50000
