Date;Price;Open;High;Low;Vol.;Percentage_diff;Target;Price_gold;Price_copper;Price_aluminium;Trend;Residuals;EMA_7d;HT_TRENDLINE;BBANDS_upper_band;BBANDS_middle_band;BBANDS_lower_band;PSAR;ADX_PDM;ATR;Linearregression;Linearintercept;STDDEV;Price_SP500;Price_NASDAQ;Price_DJ;Comprar_EMA_7d_ET;Mantener_posicion_EMA_7d_ET;Vender_EMA_7d_ET;Comprar_HTTL_ET;Mantener_posicion_HTTL_ET;Vender_HTTL_ET;Comprar_PSAR_ET;Mantener_posicion_PSAR_ET;Vender_PSAR_ET
2016-11-24;735.3;741.1;744.2;726.2;37240.0;-0.78;0.0;1189.3;2.641;1778.0;737.9714285714285;20.47209815585554;737.3407692109009;720.1695059288536;751.8799420288589;738.0799999999999;724.280057971141;712.5773658824546;66.47959505785965;20.948376061508583;749.0771428571426;708.08;6.899971014429483;2204.72;5380.68;19083.18;0;0;1;0;1;0;0;1;0
2016-11-25;740.4;735.3;741.3;729.0;28850.0;0.69;1.0;1178.4;2.7015;1756.75;737.5571428571428;18.01634654404688;738.1055769081756;720.9073913043478;750.3930559245589;740.4599999999999;730.526944075441;715.9951766118583;61.73105255372682;20.330634914257967;750.1771428571424;710.6085714285717;4.966527962279458;2213.35;5398.92;19152.14;1;0;0;0;1;0;0;1;0
2016-11-26;734.1;740.4;741.0;725.6;22580.0;-0.84;0.0;1178.4;2.7015;1756.75;735.1714285714285;-1.1202669612126854;737.1041826811318;722.500790513834;750.801115183884;740.0399999999998;729.2788848161157;719.1395624829096;57.32169165703205;19.978446706096683;747.4028571428566;717.6400000000003;5.380557591942053;2213.35;5398.92;19152.14;0;0;1;0;1;0;0;1;0
2016-11-27;729.4;734.1;738.3;727.1;21350.0;-0.64;0.0;1178.4;2.7015;1756.75;735.3714285714285;-2.662299536713263;735.1781370108488;724.0279644268775;744.686099929885;736.06;727.4339000701149;722.0323974842768;53.22728511010119;19.35141479851834;742.2399999999999;726.7171428571429;4.3130499649425245;2213.35;5398.92;19152.14;0;1;0;0;1;0;0;1;0
2016-11-28;733.3;729.4;738.1;727.7;34120.0;0.53;1.0;1190.8;2.688;1746.0;737.842857142857;-17.369408380250675;734.7086027581365;725.8858799171842;741.6026755522028;734.5;727.3973244477972;724.6938056855346;49.425336173665386;18.7120280271956;737.6685714285718;735.3885714285709;3.551337776101368;2201.72;5368.81;19097.9;0;1;0;0;1;0;0;1;0
2016-11-29;732.6;733.3;737.0;727.8;32570.0;-0.1;0.0;1189.3;2.628;1720.0;742.1999999999999;-10.538728108141568;734.1814520686024;727.4834848484849;741.1473221717156;733.9599999999999;726.7726778282843;727.1;45.89495501840357;18.03259745382449;733.0257142857148;743.1028571428568;3.593661085857813;2204.66;5379.92;19121.6;0;1;0;0;1;0;0;1;0
2016-11-30;742.5;732.6;745.4;730.6;39280.0;1.36;1.0;1172.4;2.644;1731.0;746.4999999999999;-31.812027427869506;736.2610890514518;729.0411601731602;743.1045859500629;734.3799999999999;725.6554140499369;727.7;51.01674394566044;17.801697635694165;734.485714285714;741.9571428571431;4.362292975031473;2198.81;5323.68;19123.58;1;0;0;0;1;0;0;1;0
2016-12-01;752.6;742.5;755.5;741.1;54030.0;1.37;1.0;1168.1;2.652;1720.25;751.7857142857142;23.95781244156992;740.3458167885889;730.7383809523809;755.0172488911244;738.0799999999999;721.1427511088755;727.8;57.47269080668472;17.55871923314458;738.0800000000002;740.5199999999999;8.468624445562247;2191.08;5251.11;19191.93;0;1;0;0;1;0;0;1;0
2016-12-02;770.9;752.6;779.0;752.3;63220.0;2.43;1.0;1176.5;2.6295;1712.75;754.7857142857143;31.28777511547536;747.9843625914416;733.8034486215538;774.888917903011;746.3799999999999;717.8710820969887;730.5699999999999;76.86749860620723;18.21166785934854;747.305714285714;734.7085714285719;14.254458951505594;2191.95;5255.65;19170.42;0;1;0;0;1;0;0;1;0
2016-12-03;764.2;770.9;772.3;755.8;38450.0;-0.87;0.0;1176.5;2.6295;1712.75;758.4428571428572;5.708304467358623;752.0382719435812;737.1441052631578;780.4376182627058;752.5599999999998;724.6823817372939;736.3815999999999;71.37696299147815;18.08940586939508;754.2542857142862;730.0885714285711;13.938809131352976;2191.95;5255.65;19170.42;0;1;0;0;1;0;0;1;0
2016-12-04;766.4;764.2;769.2;758.8;19160.0;0.28;1.0;1176.5;2.6295;1712.75;761.742857142857;7.966271891858227;755.628703957686;740.4594736842104;780.0295726658146;759.3199999999999;738.6104273341853;741.4958079999999;66.27860849208686;17.54016259300972;758.5314285714284;731.2257142857145;10.354786332907333;2191.95;5255.65;19170.42;0;1;0;0;1;0;0;1;0
2016-12-05;754.3;766.4;769.2;746.0;51170.0;-1.57;0.0;1175.2;2.7;1733.0;764.0142857142855;-22.54083695167914;755.2965279682644;742.7657894736842;775.8376269197867;761.68;747.5223730802132;745.9963110399999;61.54442217122352;17.944436693509026;759.7142857142865;732.6285714285707;7.078813459893333;2204.71;5308.89;19216.24;0;0;1;0;1;0;0;1;0
2016-12-06;758.2;754.3;762.5;750.9;33430.0;0.51;1.0;1168.8;2.687;1707.5;763.9571428571427;-6.695870965284297;756.0223959761984;744.3184210526316;774.5962705970899;762.8;751.00372940291;746.0;57.14839201613612;17.491262643972668;763.2542857142856;730.36;5.898135298544978;2212.23;5333.0;19251.78;1;0;0;0;1;0;0;1;0
2016-12-07;765.6;758.2;769.0;754.3;34870.0;0.97;1.0;1176.2;2.655;1706.5;765.3571428571428;-27.56917028501237;758.4167969821488;745.4433333333334;771.1443394238806;761.74;752.3356605761194;746.0;59.56636401498354;17.291886740831767;767.2714285714288;729.8428571428569;4.7021697119402885;2241.35;5393.76;19549.62;0;1;0;0;1;0;0;1;0
2016-12-08;768.5;765.6;773.4;761.2;28780.0;0.38;1.0;1171.1;2.636;1723.0;765.5714285714284;26.07209815585568;760.9375977366116;746.8935380116959;773.4258948821451;762.6;751.7741051178549;749.96;59.71162372819898;16.928180545058066;770.5057142857141;731.3514285714288;5.412947441072538;2246.19;5417.36;19614.81;0;1;0;0;1;0;0;1;0
2016-12-09;770.5;768.5;773.5;765.0;24180.0;0.26;1.0;1160.6;2.6575;1749.0;769.0285714285714;16.644917972618366;763.3281983024586;748.6111988304094;775.7847240163186;763.42;751.0552759836813;753.4448;55.54650774761336;16.326167648982487;774.0342857142859;732.1228571428571;6.182362008159312;2259.53;5444.5;19756.85;0;1;0;0;1;0;0;1;0
2016-12-10;774.0;770.5;777.0;769.2;18020.0;0.46;1.0;1160.6;2.6575;1749.0;771.9571428571428;1.9940187530729572;765.996148726844;750.5198366013071;778.0277832748837;767.36;756.6922167251163;756.511424;55.07890005135526;15.717155674055164;776.7028571428572;735.1542857142856;5.333891637441881;2259.53;5444.5;19756.85;0;1;0;0;1;0;0;1;0
2016-12-11;767.9;774.0;774.2;763.0;17140.0;-0.79;0.0;1160.6;2.6575;1749.0;773.5142857142856;-2.305156679570373;766.472111545133;752.4921895424835;774.9441119761407;769.3000000000001;763.6558880238595;759.21005312;51.14469290482989;15.39450169733694;775.9914285714289;741.3657142857139;2.8220559880703093;2259.53;5444.5;19756.85;0;1;0;0;1;0;0;1;0
2016-12-12;778.5;767.9;781.3;767.9;28760.0;1.38;1.0;1164.7;2.635;1729.75;774.4714285714286;-8.797979808822236;769.4790836588497;754.555816993464;779.7533982497446;771.8800000000001;764.0066017502556;761.5848467456;54.5915005544848;15.2520372903843;777.4628571428572;746.3514285714284;3.936699124872206;2256.96;5412.54;19796.43;0;1;0;0;1;0;0;1;0
2016-12-13;778.7;778.5;790.3;767.8;33110.0;0.03;1.0;1157.8;2.6155;1739.5;776.1142857142856;1.646986177572745;771.7843127441373;756.8617647058824;782.4882203519281;773.9200000000001;765.351779648072;763.0;59.69210765773589;15.769748912499706;777.5942857142857;752.8057142857144;4.284110175964019;2271.72;5463.83;19911.21;0;1;0;0;1;0;0;1;0
2016-12-14;776.5;778.7;780.8;771.0;24780.0;-0.29;0.0;1162.4;2.6175;1744.25;778.0;-29.312027427869616;772.963234558103;759.3970588235294;783.096365086857;775.1200000000001;767.1436349131433;767.3679999999999;55.428385682183325;15.34333827589258;777.2571428571432;757.9999999999999;3.9881825434284215;2253.28;5436.67;19792.53;0;1;0;0;1;0;0;1;0
2016-12-15;775.2;776.5;780.3;773.1;26220.0;-0.17;0.0;1128.6;2.609;1733.5;781.0142857142856;17.329241012998544;773.5224259185773;761.2688235294119;783.258961957093;775.36;767.461038042907;767.8;51.469215276313086;14.761671256185965;777.0571428571429;761.4285714285716;3.949480978546513;2262.03;5456.85;19852.24;0;1;0;0;1;0;0;1;0
