Date;Price;Open;High;Low;Vol.;Percentage_diff;Price_gold;Price_copper;Price_aluminium;Trend;Residuals;EMA_7d;HT_TRENDLINE;BBANDS_upper_band;BBANDS_middle_band;BBANDS_lower_band;PSAR;ADX_PDM;ATR;Linearregression;Linearintercept;STDDEV;Price_SP500;Price_NASDAQ;Price_DJ;Target;y_test_pred
2019-08-26;10371.8;10136.0;10568.2;10136.0;568770.0;2.32;1527.9;2.6125;1770.5;10061.85714285714;297.1163059054644;10310.815805437089;10840.364904761906;10478.654350586565;10226.56000000003;9974.465649413498;10891.396641279092;1615.972228053722;588.9765409767393;10243.042857142853;10478.34285714286;126.04717529326598;2878.38;7853.73;25898.83;0.0;0.0
2017-05-22;2124.4;2044.2;2264.8;1998.6;174380.0;3.92;1261.4;2.667;1938.5;2170.842857142857;-59.26940838025065;1969.5792814276465;1544.5385026737968;2175.559012103557;2010.3600000000008;1845.160987896444;1689.79420989952;675.4706586279801;115.99793226461136;2032.6628571428569;1650.637142857143;82.59950605177832;2394.02;6133.62;20894.83;1.0;1.0
2016-12-06;758.2;754.3;762.5;750.9;33430.0;0.51;1168.8;2.687;1707.5;763.9571428571427;-6.695870965284297;756.0223959761984;744.3184210526316;774.5962705970899;762.8;751.00372940291;746.0;57.14839201613612;17.491262643972668;763.2542857142856;730.36;5.898135298544978;2212.23;5333.0;19251.78;1.0;1.0
2018-10-03;6507.8;6549.9;6563.5;6429.6;9210000.0;-0.64;1200.1;2.9195;2222.5;6588.671428571428;-108.68345599929734;6570.121788858631;6532.371428571428;6672.770757863548;6581.000000000019;6489.22924213649;6793.714;594.7814947074673;287.5579998761308;6560.8628571428535;6641.580000000001;45.88537893176466;2925.51;8025.09;26828.39;1.0;1.0
2020-06-05;9631.2;9794.0;9846.1;9628.7;527050.0;-1.67;1678.5;2.645;1591.5;9687.214285714286;-40.84079631309579;9642.291380083876;9391.805098039214;10222.091342057927;9761.940000000031;9301.788657942134;8793.082400688;1673.282996792989;444.4552835819932;9903.014285714282;8925.414285714289;230.0756710289491;3193.93;9814.08;27110.98;1.0;1.0
2022-04-10;42138.0;42760.0;43421.0;41884.0;255830000.0;-1.47;1952.2;4.7375;3374.5;41619.428571428565;521.8805576061501;43414.50354309377;43965.34936923077;43766.6077900914;42760.20000000009;41753.79220990878;47211.76219775999;4825.89571641686;1706.2478748364872;42398.57142857143;47830.71428571428;503.20389504565503;4488.28;13711.0;34721.12;0.0;0.0
2018-11-23;4398.0;4360.9;4455.6;4223.7;348990.0;0.96;1223.2;2.815;1949.25;4248.128571428571;165.04491797261835;4821.614157279325;5891.492613912232;4939.854611698159;4560.220000000021;4180.585388301884;5606.332199522349;211.9428733132005;268.7872831409936;4303.185714285714;6699.114285714286;189.8173058490688;2632.56;6938.98;24285.95;0.0;0.0
2017-03-29;1041.9;1044.4;1058.7;1008.3;68850.0;-0.24;1253.7;2.7635;1962.0;1043.4142857142856;-29.32631314215512;1028.267541442944;1106.7260260210803;1087.8917288640212;1013.4200000000004;938.9482711359796;1187.9539446672757;150.1558327770513;79.17910878437867;997.094285714286;1073.4628571428568;37.23586443201042;2361.13;5897.55;20659.32;0.0;1.0
2017-07-20;2866.0;2282.6;2932.8;2282.1;310340.0;25.56;1245.5;2.8;1917.0;2567.2;321.9435267272843;2397.72998513178;2364.8522142857146;2937.5667845954395;2323.2600000000007;1708.9532154045617;1809.0;969.4425450472496;213.57321729183045;2282.3114285714287;2410.488571428571;307.1533922977195;2473.45;6390.0;21611.78;0.0;0.0
2021-12-24;50786.1;50807.4;51795.3;50428.4;45970.0;-0.03;1818.6;4.3705;2846.0;50136.18571428571;665.0877751154767;49179.0356412564;50151.241738461526;52141.64364813418;49196.8000000001;46251.956351866014;42763.156;7382.66090483961;2603.3149064467134;48847.23714285713;47821.64857142857;1472.4218240670405;4725.78;15653.37;35950.56;0.0;0.0
2019-07-27;9492.1;9830.4;10232.3;9389.1;661890.0;-3.45;1419.3;2.7675;1801.0;9708.871428571429;-216.8202669612125;9941.780941067527;10469.532499999998;10107.828649811698;9792.280000000028;9476.731350188358;10668.051976825736;2157.7545941177173;815.5704047627722;9887.728571428566;10445.400000000003;157.77432490583527;3025.86;8330.21;27192.45;1.0;1.0
2015-03-24;246.7;265.5;267.0;242.7;151090.0;-7.06;1191.4;2.815;1790.75;254.58571428571423;-8.824442393855902;262.3947526557803;270.2257142857143;275.5164803324768;260.45999999999924;245.4035196675217;290.16909210173435;33.46079676159549;13.62541447102934;252.68857142857144;295.6114285714285;7.52824016623879;2091.5;4994.73;18011.14;0.0;1.0
2020-10-17;11362.1;11321.8;11402.7;11274.4;29860.0;0.35;1945.4;3.0905;1870.5;11540.185714285712;-178.13455267549728;11338.766595184092;11065.911904761906;11529.275680293737;11406.26000000002;11283.244319706304;10814.760761351215;974.7816241460242;285.2802225552662;11598.877142857144;10679.522857142856;61.50784014685838;3483.81;11671.66;28606.31;1.0;1.0
2016-01-06;430.8;431.2;432.1;425.0;43430.0;-0.09;1091.9;2.1265;1474.0;440.6;-37.61202742786957;431.59859039132334;427.0617306255836;434.52178233053735;431.9399999999995;429.3582176694616;401.196;43.44527828599965;15.785897992596578;428.5000000000002;435.685714285714;1.2908911652689434;1990.26;4835.77;16906.51;1.0;1.0
2021-03-20;58093.4;58084.1;59882.1;57863.0;67830.0;0.01;1755.4;4.057;2265.5;56963.64285714285;1129.708304467369;57688.51874824057;53462.62428571429;59247.57995861559;57928.12000000001;56608.66004138443;55158.312;13222.709439118336;3639.0847275903534;59507.31428571429;54039.78571428572;659.7299793077907;3913.1;13215.24;32627.97;0.0;0.0
2020-01-23;8405.1;8678.5;8687.3;8309.6;722670.0;-3.15;1565.4;2.784;1795.0;8549.62857142857;-121.38504470128508;8610.636364817079;8033.908289303288;8868.429390198091;8632.860000000026;8397.290609801961;9183.7;1107.8789527230265;310.53408177044554;8827.251428571437;8298.219999999996;117.78469509903236;3325.54;9402.48;29160.09;1.0;1.0
2016-04-13;423.5;424.7;426.6;421.4;38090.0;-0.3;1247.5;2.2165;1556.0;424.6571428571429;-28.96917028501246;421.6241009215472;419.0055833333333;426.3050820101428;421.57999999999936;416.854917989856;412.0652733229969;18.652326343786704;6.491407883242808;422.8799999999999;416.73428571428576;2.3625410050717144;2082.42;4947.42;17908.28;1.0;1.0
2020-08-23;11641.6;11661.1;11705.4;11520.8;377330.0;-0.17;1936.0;2.989;1765.0;11604.228571428572;40.68055760614389;11722.178805949125;11544.699932844936;11907.802200384074;11687.840000000026;11467.877799615975;11294.808095067046;1245.3043003820603;384.8545850851045;11780.851428571432;11758.034285714284;109.9811001920246;3397.16;11311.8;27930.33;1.0;0.0
2020-10-25;13032.2;13117.0;13345.3;12900.4;59730.0;-0.65;1944.1;3.1475;1842.5;13150.914285714283;-115.40515667956916;12666.884770675704;11577.930864281918;13178.899080464142;12973.36000000002;12767.8209195359;12089.61352963988;2136.364840727608;366.2170958264292;13062.75714285714;11023.78571428572;102.76954023206092;3465.39;11548.28;28335.57;1.0;1.0
2016-05-12;454.4;452.5;455.3;448.4;49190.0;0.43;1271.2;2.123;1541.0;455.2285714285713;22.31495529871281;453.9531981202916;452.8296666666667;462.6921554283565;454.9199999999995;447.1478445716425;438.8285149093888;26.16872766187696;9.27847078814928;455.65714285714256;449.6000000000002;3.8860777141784992;2064.11;4737.33;17720.5;1.0;0.0
2016-10-23;653.0;655.5;661.2;648.8;21910.0;-0.37;1266.4;2.1465;1625.25;649.0714285714284;7.237700463286828;641.515753930229;621.7888484765554;663.8174489301774;639.2799999999997;614.7425510698221;612.4293539560998;49.22542424378035;10.146621354668818;643.4885714285715;629.8685714285714;12.268724465088832;2141.16;5257.4;18145.71;0.0;1.0
2016-08-29;574.2;575.0;578.6;571.4;23860.0;-0.13;1321.4;2.1355;1641.5;574.5857142857142;-13.21226552310772;576.2572983162069;577.9905882352941;581.7277870160714;575.3799999999995;569.0322129839277;512.5528682106299;26.234204197160345;14.328697730514484;576.9285714285717;578.9999999999998;3.1738935080359263;2180.38;5232.33;18502.99;1.0;1.0
2015-09-20;231.1;231.1;232.7;229.9;33150.0;0.0;1138.1;2.4035;1626.0;230.47142857142853;3.937700463286731;231.65649062520416;232.352184057971;233.97012367253103;231.13999999999945;228.3098763274678;244.746441808;19.85017823332926;7.332744873772208;228.45999999999992;239.9828571428572;1.4150618362658092;1958.03;4827.23;16384.58;0.0;0.0
