Date;Price;Open;High;Low;Vol.;Percentage_diff;Target;SMA_7d;SMA_15d;SMA_30d;SMA_50d;SMA_100d;SMA_200d;EMA_7d;EMA_15d;EMA_30d;EMA_50d;EMA_100d;EMA_200d;HT_TRENDLINE;BBANDS_upper_band;BBANDS_middle_band;BBANDS_lower_band;PSAR;SMA_7d_ET;SMA_15d_ET;SMA_30d_ET;SMA_50d_ET;SMA_100d_ET;SMA_200d_ET;EMA_7d_ET;EMA_15d_ET;EMA_30d_ET;EMA_50d_ET;EMA_100d_ET;EMA_200d_ET;HTTL_ET;PSAR_ET
2014-03-19;595.0;598.9;607.1;590.1;3580.0;-0.66;0.0;611.771428571429;618.8666666666668;504.2366666666661;578.7499999999995;723.1410000000002;539.7784999999997;607.0420677434482;596.7883334534938;583.9471139268478;605.6100220971515;627.0043088062613;548.2375065237369;537.7212108262108;631.1525254478681;608.6799999999994;586.2074745521306;505.6789563538411;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Vender;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion
2014-03-20;566.0;595.0;598.4;560.3;4240.0;-4.87;0.0;603.3428571428576;612.7133333333335;513.3033333333328;571.5559999999996;718.4640000000003;541.8784999999996;596.7815508075862;592.9397917718071;582.7892356089867;604.0566878972633;625.7963026912859;548.4142477523565;556.7870307692307;632.2407508453;597.0799999999994;561.9192491546987;517.0622189726106;Mantener_posicion;Mantener_posicion;Mantener_posicion;Vender;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Vender;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion
2014-03-21;549.6;566.0;587.4;540.2;3820.0;-2.9;0.0;594.1428571428577;606.1333333333336;522.9066666666662;563.7199999999995;714.7610000000003;543.9064999999996;584.9861631056897;587.5223178003312;580.6479946019552;601.9211315091353;624.2874650142307;548.4260462821837;573.8277692307691;626.5275997029254;583.1799999999994;539.8324002970734;527.762485834254;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Vender;Mantener_posicion
2014-03-22;564.3;549.6;570.0;537.2;3770.0;2.68;1.0;585.6142857142862;602.6400000000001;537.9866666666661;556.2299999999994;711.4040000000003;546.0079999999997;579.8146223292672;584.6195280752897;579.5932852727968;600.445793018581;623.0995944198895;548.5839960704208;590.2815999999999;612.8291160917275;574.7599999999993;536.6908839082711;695.4;Mantener_posicion;Mantener_posicion;Mantener_posicion;Comprar;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Vender
2014-03-23;551.2;564.3;564.3;538.6;4130.0;-2.34;0.0;575.9142857142863;598.7733333333334;552.6399999999994;548.4459999999995;707.5480000000003;548.1014999999996;572.6609667469504;580.4420870658785;577.7614604164874;598.5145854492248;621.6758400749412;548.6100259602673;598.7811999999999;597.8248830699566;565.2199999999993;532.6151169300421;692.236;Mantener_posicion;Mantener_posicion;Vender;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion
2014-03-24;567.6;551.2;572.5;531.3;3670.0;2.98;1.0;570.3714285714292;594.8133333333335;563.0399999999994;540.7319999999995;704.1350000000004;550.2884999999997;571.3957250602128;578.8368261826437;577.1058823251011;597.3022487649415;620.6050313605859;548.7989809258368;602.7464;575.1675597553715;559.7399999999993;544.3124402446272;689.13528;Mantener_posicion;Mantener_posicion;Comprar;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion
2014-03-25;562.9;567.6;569.7;550.4;3870.0;-0.82;0.0;565.228571428572;591.4733333333335;571.4633333333328;533.3559999999994;700.5650000000004;552.4934999999997;569.2717937951596;576.8447229098132;576.1893737879979;595.9531409702379;619.4623574722575;548.9392895733408;603.6024;573.7183012712253;559.1199999999993;544.5216987287733;682.8218688;Mantener_posicion;Mantener_posicion;Vender;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion
2014-03-26;562.5;562.9;575.4;546.3;3710.0;-0.08;0.0;560.5857142857149;588.3933333333334;584.4133333333327;526.0739999999995;698.5910000000005;554.6609999999997;567.5788453463697;575.0516325460866;575.3061883823206;594.641253089052;618.3343899975594;549.0742220153971;603.1532000000001;572.7959452055794;561.6999999999994;550.6040547944193;676.7609940479999;Comprar;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion
2014-03-27;460.5;562.5;567.8;460.5;3780.0;-18.13;0.0;545.5142857142863;577.8000000000001;595.2366666666661;517.1939999999995;696.0460000000005;556.3319999999997;540.8091340097773;560.7326784778257;567.899337518945;589.3808117914422;615.2089565322611;548.1928864729554;601.6652;622.1000492853775;540.9399999999994;459.77995071462124;670.9425542860799;Vender;Mantener_posicion;Mantener_posicion;Vender;Mantener_posicion;Vender;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Vender;Mantener_posicion;Mantener_posicion
2014-03-28;482.6;460.5;515.0;453.8;4110.0;4.81;1.0;535.9428571428577;568.3066666666668;591.5533333333328;510.26799999999946;695.4620000000006;558.0794999999997;526.256850507333;550.9660936680975;562.3961544532066;585.1933289760915;612.5830366009293;547.5402209359111;597.7792000000002;619.2668923973223;527.2199999999995;435.1731076026766;658.3160010289151;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion
