Date;Price;Open;High;Low;Vol.;Percentage_diff;Target;Price_EUR_USD;Percentage_diff_EUR_USD;Price_USD_JPY;Percentage_diff_USD_JPY;Price_USD_CNY;Percentage_diff_USD_CNY
2021-12-01;57210.3;56891.7;59064.3;56496.5;66750.0;0.58;1.0;1.1319;-0.15;112.75;-0.34;6.3673;0.05
2021-12-02;56496.0;57207.8;57377.5;55807.9;54940.0;-1.25;0.0;1.1299;-0.18;113.15;0.35;6.3763;0.14
2021-12-03;53631.5;56495.2;57543.6;52008.9;89200.0;-5.07;0.0;1.1313;0.12;112.8;-0.31;6.3758;-0.01
2021-12-04;49195.2;53620.7;53847.2;42587.8;168000.0;-8.27;0.0;1.1313;0.12;112.8;-0.31;6.3758;-0.01
2021-12-05;49405.5;49196.4;49689.3;47797.8;72030.0;0.43;1.0;1.1313;0.12;112.8;-0.31;6.3758;-0.01
2021-12-06;50562.1;49412.1;50913.3;47237.9;89680.0;2.34;1.0;1.1285;-0.25;113.46;0.59;6.3756;-0.0
2021-12-07;50595.2;50547.4;51918.6;50070.9;56290.0;0.07;1.0;1.1263;-0.19;113.57;0.1;6.3657;-0.16
2021-12-08;50473.9;50596.6;51204.7;48700.7;55590.0;-0.24;0.0;1.1342;0.7;113.66;0.08;6.3435;-0.35
2021-12-09;47596.6;50477.6;50790.2;47341.9;58690.0;-5.7;0.0;1.1292;-0.44;113.44;-0.19;6.3772;0.53
2021-12-10;47137.2;47591.7;49974.8;47007.1;68060.0;-0.97;0.0;1.1311;0.17;113.38;-0.05;6.3685;-0.14
2021-12-11;49314.5;47138.4;49487.0;46834.0;45230.0;4.62;1.0;1.1311;0.17;113.38;-0.05;6.3685;-0.14
2021-12-12;50081.0;49332.5;50779.2;48670.5;40300.0;1.55;1.0;1.1311;0.17;113.38;-0.05;6.3685;-0.14
2021-12-13;46703.6;50075.9;50196.1;45848.2;80370.0;-6.74;0.0;1.1283;-0.25;113.56;0.16;6.363;-0.09
2021-12-14;48366.5;46709.8;48635.0;46338.3;62540.0;3.56;1.0;1.1257;-0.23;113.71;0.13;6.3671;0.06
2021-12-15;48871.5;48366.2;49477.9;46572.6;80280.0;1.04;1.0;1.1285;0.25;114.02;0.27;6.3673;0.0
2021-12-16;47628.2;48876.6;49387.8;47543.9;48200.0;-2.54;0.0;1.1328;0.38;113.7;-0.28;6.3674;0.0
2021-12-17;46172.2;47630.4;47997.2;45523.8;67500.0;-3.06;0.0;1.1239;-0.79;113.67;-0.03;6.3748;0.12
2021-12-18;46856.2;46171.8;47330.2;45513.4;36930.0;1.48;1.0;1.1239;-0.79;113.67;-0.03;6.3748;0.12
2021-12-19;46704.5;46855.7;48270.2;46438.4;44050.0;-0.32;0.0;1.1239;-0.79;113.67;-0.03;6.3748;0.12
2021-12-20;46895.2;46703.4;47488.9;45577.3;57530.0;0.41;1.0;1.1275;0.32;113.58;-0.08;6.3756;0.01
2021-12-21;48902.0;46900.1;49306.1;46654.0;57880.0;4.28;1.0;1.1283;0.07;114.08;0.44;6.3716;-0.06
2021-12-22;48599.7;48898.7;49540.3;48449.7;40890.0;-0.62;0.0;1.1324;0.36;114.11;0.03;6.3695;-0.03
2021-12-23;50801.0;48599.6;51355.6;48053.4;56240.0;4.53;1.0;1.1328;0.04;114.37;0.23;6.3696;0.0
2021-12-24;50786.1;50807.4;51795.3;50428.4;45970.0;-0.03;0.0;1.1317;-0.1;114.41;0.03;6.3672;-0.04
2021-12-25;50406.4;50789.6;51140.2;50196.8;26670.0;-0.75;0.0;1.1317;-0.1;114.41;0.03;6.3672;-0.04
2021-12-26;50779.9;50404.0;51247.0;49527.0;32340.000000000004;0.74;1.0;1.1317;-0.1;114.41;0.03;6.3672;-0.04
2021-12-27;50678.2;50783.6;52016.3;50459.0;43900.0;-0.2;0.0;1.1325;0.07;114.83;0.37;6.3705;0.05
2021-12-28;47545.2;50703.4;50703.8;47345.7;74390.0;-6.18;0.0;1.1309;-0.14;114.81;-0.02;6.3684;-0.03
2021-12-29;46461.7;47548.4;48121.7;46127.8;63920.0;-2.28;0.0;1.1348;0.34;114.94;0.11;6.368;-0.01
2021-12-30;47123.3;46470.7;47901.4;46003.0;60960.0;1.42;1.0;1.1323;-0.22;115.06;0.1;6.3691;0.02
2021-12-31;46219.5;47123.3;48553.9;45693.6;58180.0;-1.92;0.0;1.1368;0.4;115.08;0.02;6.3521;-0.27
2022-01-01;47738.0;46217.5;47917.6;46217.5;31240.0;3.29;1.0;1.1368;0.4;115.08;0.02;6.3521;-0.27
2022-01-02;47311.8;47738.7;47944.9;46718.2;27020.0;-0.89;0.0;1.1368;0.4;115.08;0.02;6.3521;-0.27
2022-01-03;46430.2;47293.9;47556.0;45704.0;41060.0;-1.86;0.0;1.1368;0.4;115.08;0.02;6.3521;-0.27
2022-01-04;45837.3;46435.7;47505.4;45602.1;55590.0;-1.28;0.0;1.1285;-0.08;116.14;0.71;6.3721;0.31
2022-01-05;43425.9;45833.1;47019.4;42535.1;83740.0;-5.26;0.0;1.1313;0.25;116.1;-0.03;6.364;-0.13
2022-01-06;43097.5;43431.6;43772.3;42481.1;63080.0;-0.76;0.0;1.1291;-0.19;115.82;-0.24;6.3822;0.29
2022-01-07;41546.7;43097.9;43127.7;40810.0;88360.0;-3.6;0.0;1.1359;0.6;115.55;-0.23;6.3769;-0.08
2022-01-08;41672.0;41551.3;42304.4;40574.3;52540.0;0.3;1.0;1.1359;0.6;115.55;-0.23;6.3769;-0.08
2022-01-09;41848.3;41681.2;42764.4;41260.9;37510.0;0.42;1.0;1.1359;0.6;115.55;-0.23;6.3769;-0.08
2022-01-10;41832.2;41848.9;42243.8;39697.0;85500.0;-0.04;0.0;1.1324;-0.31;115.2;-0.3;6.3756;-0.02
2022-01-11;42733.2;41829.1;43090.2;41287.6;61780.0;2.15;1.0;1.1364;0.35;115.28;0.07;6.3735;-0.03
2022-01-12;43901.0;42735.0;44243.6;42476.7;53950.0;2.73;1.0;1.1442;0.69;114.63;-0.56;6.358;-0.24
2022-01-13;42560.0;43900.0;44404.7;42337.5;53420.0;-3.05;0.0;1.1453;0.1;114.17;-0.4;6.3595;0.02
2022-01-14;43073.3;42562.2;43435.1;41848.7;50500.0;1.21;1.0;1.1414;-0.34;114.2;0.03;6.3524;-0.11
2022-01-15;43097.0;43073.6;43777.9;42586.1;31440.0;0.06;1.0;1.1414;-0.34;114.2;0.03;6.3524;-0.11
2022-01-16;43079.1;43079.2;43462.0;42643.3;28660.0;-0.04;0.0;1.1414;-0.34;114.2;0.03;6.3524;-0.11
2022-01-17;42209.3;43080.5;43179.6;41559.4;41440.0;-2.02;0.0;1.1407;-0.06;114.6;0.35;6.3482;-0.07
2022-01-18;42364.6;42209.9;42674.2;41300.7;47320.0;0.37;1.0;1.1325;-0.72;114.61;0.01;6.3525;0.07
2022-01-19;41677.8;42365.3;42558.0;41160.9;53770.0;-1.62;0.0;1.1341;0.14;114.32;-0.25;6.3447;-0.12
2022-01-20;40715.9;41683.6;43487.1;40568.3;65280.0;-2.31;0.0;1.131;-0.27;114.09;-0.2;6.3406;-0.06
2022-01-21;36475.5;40698.1;41104.6;35503.9;155800.0;-10.41;0.0;1.134;0.27;113.68;-0.36;6.3385;-0.03
2022-01-22;35075.2;36467.7;36749.8;34116.0;138090.0;-3.84;0.0;1.134;0.27;113.68;-0.36;6.3385;-0.03
2022-01-23;36269.5;35072.9;36513.0;34655.2;70430.0;3.4;1.0;1.134;0.27;113.68;-0.36;6.3385;-0.03
2022-01-24;36686.3;36268.6;37424.0;32985.6;153770.0;1.15;1.0;1.1323;-0.15;113.92;0.21;6.3304;-0.13
2022-01-25;36950.6;36691.3;37501.8;35729.3;79680.0;0.72;1.0;1.1299;-0.21;113.86;-0.05;6.3257;-0.07
2022-01-26;36800.4;36962.3;38862.6;36280.0;107870.0;-0.41;0.0;1.1237;-0.55;114.63;0.68;6.3206;-0.08
2022-01-27;37164.3;36800.1;37215.4;35543.2;83520.0;0.99;1.0;1.1143;-0.84;115.34;0.62;6.3643;0.69
2022-01-28;37745.1;37195.6;37995.9;36176.5;69450.0;1.56;1.0;1.1143;0.0;115.24;-0.09;6.3605;-0.06
2022-01-29;38170.8;37736.5;38663.7;37350.2;42770.0;1.13;1.0;1.1143;0.0;115.24;-0.09;6.3605;-0.06
2022-01-30;37917.7;38167.5;38313.3;37390.6;34100.0;-0.66;0.0;1.1143;0.0;115.24;-0.09;6.3605;-0.06
2022-01-31;38498.6;37923.8;38701.4;36672.8;61270.0;1.53;1.0;1.1233;0.81;115.1;-0.12;6.361;0.01
2022-02-01;38709.7;38475.6;39230.0;38037.9;55200.0;0.55;1.0;1.1269;0.32;114.71;-0.34;6.361;0.0
2022-02-02;36890.2;38711.2;38853.8;36682.3;53740.0;-4.7;0.0;1.1303;0.3;114.44;-0.24;6.361;0.0
2022-02-03;37287.8;36890.2;37304.3;36297.3;50350.0;1.08;1.0;1.1438;1.19;114.95;0.45;6.361;0.0
2022-02-04;41567.6;37287.8;41689.0;37041.1;95490.0;11.48;1.0;1.1449;0.1;115.2;0.22;6.361;0.0
2022-02-05;41412.1;41566.5;41899.8;40963.3;46320.0;-0.37;0.0;1.1449;0.1;115.2;0.22;6.361;0.0
2022-02-06;42392.2;41411.9;42614.8;41176.3;31200.0;2.37;1.0;1.1449;0.1;115.2;0.22;6.361;0.0
2022-02-07;43833.9;42385.2;44468.3;41695.4;76600.0;3.4;1.0;1.1442;-0.06;115.12;-0.07;6.3583;-0.04
2022-02-08;44038.2;43833.9;45399.8;42705.0;92880.0;0.47;1.0;1.1414;-0.24;115.54;0.36;6.366;0.12
2022-02-09;44388.9;44038.2;44800.4;43163.0;50920.0;0.8;1.0;1.1422;0.07;115.49;-0.04;6.3619;-0.06
2022-02-10;43521.0;44388.9;45755.2;43242.5;89690.0;-1.96;0.0;1.1427;0.04;116.0;0.44;6.3526;-0.15
2022-02-11;42388.4;43519.3;43915.1;42023.4;69950.0;-2.6;0.0;1.1349;-0.68;115.41;-0.51;6.354;0.02
2022-02-12;42205.2;42388.4;43006.4;41776.8;37880.0;-0.43;0.0;1.1349;-0.68;115.41;-0.51;6.354;0.02
2022-02-13;42061.1;42205.5;42725.1;41880.1;25880.0;-0.34;0.0;1.1349;-0.68;115.41;-0.51;6.354;0.02
2022-02-14;42550.3;42061.1;42799.7;41591.3;53600.0;1.16;1.0;1.1305;-0.39;115.53;0.1;6.3567;0.04
2022-02-15;44544.4;42550.3;44722.6;42460.1;56340.0;4.69;1.0;1.1356;0.45;115.62;0.08;6.3385;-0.29
2022-02-16;43883.6;44540.9;44552.9;43377.6;41400.0;-1.48;0.0;1.1373;0.15;115.46;-0.14;6.3332;-0.08
2022-02-17;40552.8;43885.5;44167.1;40103.8;72630.0;-7.59;0.0;1.136;-0.11;114.93;-0.46;6.3381;0.08
2022-02-18;40000.1;40532.5;40935.5;39505.0;64959.99999999999;-1.36;0.0;1.1321;-0.34;115.0;0.06;6.3251;-0.21
2022-02-19;40090.3;40000.1;40434.3;39666.6;25780.0;0.23;1.0;1.1321;-0.34;115.0;0.06;6.3251;-0.21
2022-02-20;38355.0;40089.6;40120.3;38042.2;47920.0;-4.33;0.0;1.1321;-0.34;115.0;0.06;6.3251;-0.21
2022-02-21;37017.7;38355.0;39444.1;36868.9;91820.0;-3.49;0.0;1.131;-0.1;114.74;-0.23;6.3345;0.15
2022-02-22;38248.2;37018.3;38414.9;36399.6;82750.0;3.32;1.0;1.1325;0.13;115.08;0.3;6.326;-0.13
2022-02-23;37224.6;38248.2;39194.5;37099.5;64840.0;-2.68;0.0;1.1309;-0.14;114.97;-0.1;6.3134;-0.2
2022-02-24;38339.2;37250.2;39351.6;34357.4;180470.0;2.99;1.0;1.1191;-1.04;115.52;0.48;6.3283;0.24
2022-02-25;39209.6;38339.2;39683.7;38042.6;83780.0;2.27;1.0;1.1267;0.68;115.56;0.03;6.3169;-0.18
2022-02-26;39115.5;39221.6;40094.5;38639.1;41550.0;-0.24;0.0;1.1267;0.68;115.56;0.03;6.3169;-0.18
2022-02-27;37689.1;39116.6;39838.5;37062.3;66140.0;-3.65;0.0;1.1267;0.68;115.56;0.03;6.3169;-0.18
2022-02-28;43188.2;37707.2;43977.8;37458.9;108070.0;14.59;1.0;1.1219;-0.43;114.99;-0.49;6.3084;-0.13
2022-03-01;44420.3;43187.2;44900.5;42876.6;90670.0;2.85;1.0;1.1126;-0.83;114.89;-0.09;6.3116;0.05
2022-03-02;43912.8;44420.3;45294.2;43361.3;80820.0;-1.14;0.0;1.1121;-0.04;115.5;0.53;6.321;0.15
2022-03-03;42463.0;43912.8;44077.2;41840.8;74110.0;-3.3;0.0;1.1064;-0.51;115.46;-0.03;6.3195;-0.02
2022-03-04;39142.7;42463.0;42848.7;38594.9;3210000000.0;-7.82;0.0;1.0926;-1.25;114.78;-0.59;6.3188;-0.01
2022-03-05;39395.8;39142.8;39600.2;38626.1;1500000000.0;0.65;1.0;1.0926;-1.25;114.78;-0.59;6.3188;-0.01
2022-03-06;38403.1;39396.3;39668.1;38115.0;1930000000.0;-2.52;0.0;1.0926;-1.25;114.78;-0.59;6.3188;-0.01
2022-03-07;38024.8;38420.6;39532.0;37182.1;3020000000.0;-0.99;0.0;1.0852;-0.68;115.29;0.44;6.3194;0.01
2022-03-08;38744.8;38020.6;39351.5;37886.6;2670000000.0;1.89;1.0;1.0899;0.43;115.66;0.32;6.3178;-0.03
2022-03-09;41929.0;38731.5;42538.5;38663.3;3600000000.0;8.22;1.0;1.1075;1.61;115.82;0.14;6.3174;-0.01
2022-03-10;39416.3;41933.9;42029.1;38603.5;3620000000.0;-5.99;0.0;1.0983;-0.83;116.13;0.27;6.3212;0.06
2022-03-11;38730.2;39422.5;40177.0;38236.4;2790000000.0;-1.74;0.0;1.0909;-0.67;117.28;0.99;6.3389;0.28
2022-03-12;38814.3;38730.2;39355.3;38666.5;1110000000.0;0.22;1.0;1.0909;-0.67;117.28;0.99;6.3389;0.28
2022-03-13;37792.4;38813.2;39272.3;37603.4;1550000000.0;-2.63;0.0;1.0909;-0.67;117.28;0.99;6.3389;0.28
2022-03-14;39671.1;37789.5;39914.3;37613.6;2330000000.0;4.97;1.0;1.0939;0.28;118.18;0.77;6.3607;0.34
2022-03-15;39285.7;39673.0;39854.7;38220.9;2250000000.0;-0.97;0.0;1.0951;0.11;118.28;0.08;6.3696;0.14
2022-03-16;41118.7;39282.5;41701.6;38953.2;4470000000.0;4.67;1.0;1.1032;0.74;118.72;0.37;6.351;-0.29
2022-03-17;40914.8;41118.7;41406.0;40557.8;1900000000.0;-0.5;0.0;1.1089;0.52;118.59;-0.11;6.3459;-0.08
2022-03-18;41767.8;40914.6;42308.4;40234.8;2310000000.0;2.08;1.0;1.1055;-0.31;119.17;0.49;6.3609;0.24
