Date;Price;Open;High;Low;Vol.;Percentage_diff;Target;HT_DCPERIOD;HT_DCPHASE;HT_PHASOR_inphase;HT_PHASOR_quadrature;HT_SINE_sine;HT_PHASOR_leadsine;HT_SINE_integer
2021-03-12;57265.1;57806.2;58052.3;55134.5;116960.0;-0.92;0.0;23.0978197378312;88.27177348095573;1781.2545637799328;4964.158393449092;0.9995451238761021;0.7281105347866313;1
2021-03-13;61195.3;57267.4;61795.8;56118.8;134640.0;6.86;1.0;22.309125526329403;111.84387892090767;3803.4956689611954;5710.288415125265;0.9282011493918308;0.3932378912105333;1
2021-03-14;59113.7;61192.7;61673.7;59113.7;80290.0;-3.4;0.0;21.776249764366238;126.91085973983144;5519.043333498414;3595.509685263984;0.7995708415452023;0.14071358208993606;1
2021-03-15;55791.3;59117.4;60565.9;55088.8;117710.0;-5.62;0.0;21.474911591113834;151.45443669930404;6053.0440199442655;1058.662958619251;0.47785747070506146;-0.2832527731312142;1
2021-03-16;56889.7;55619.5;56889.7;53342.6;128510.0;1.97;1.0;21.317425821871417;164.73526657487997;5968.209188205517;-1651.612107366725;0.2632792977110442;-0.4959932327434514;1
2021-03-17;58913.5;56892.9;58933.2;54253.2;118260.0;3.56;1.0;21.203057323818207;175.87053749658136;4751.041021455636;-3227.8730695415493;0.07201033655325598;-0.6543520539459435;1
2021-03-18;57656.0;58911.8;60088.0;57099.6;102620.0;-2.13;0.0;21.102961631041108;184.81503828762226;4347.894947182201;-3224.5091734479756;-0.08393938756899974;-0.7639654140754412;1
2021-03-19;58088.0;57645.0;59448.3;56305.1;83980.0;0.75;1.0;20.96164959818728;192.16290206150387;3454.34897252619;-7372.568652359199;-0.2106918938133512;-0.8402156814569187;1
2021-03-20;58093.4;58084.1;59882.1;57863.0;67830.0;0.01;1.0;20.79089682257783;198.72552077044745;-630.0969536637548;-7560.479356947565;-0.32103486656303387;-0.8966836948673303;1
2021-03-21;57383.8;58097.4;58583.8;55583.3;77470.0;-1.22;0.0;20.791193315337395;204.47794641446762;-2035.3792060112314;-702.3400433961424;-0.4143429608645465;-0.9365373223554649;1
2021-03-22;54158.3;57379.3;58379.9;53784.2;95530.0;-5.62;0.0;21.043164190942193;212.62350667631665;-544.0821307397076;1914.020156517181;-0.5391163716705405;-0.9767602953607035;1
2021-03-23;54452.5;54117.5;55813.8;52992.3;84840.0;0.54;1.0;21.242822828999632;222.48552375612553;79.71152758679486;1029.8231385366514;-0.6754039069490627;-0.999037168901931;1
2021-03-24;52325.4;54309.1;57169.4;51725.4;137910.0;-3.91;0.0;21.243859273893207;235.42751826144803;310.74363561797634;3.5291051921417513;-0.8234090000029891;-0.9834846568697412;1
2021-03-25;51322.3;52330.0;53175.4;50441.3;143350.0;-1.92;0.0;21.16533941918869;250.16526173110609;247.58679458616305;-2095.620083615671;-0.9406752201927326;-0.9050850349236328;1
2021-03-26;55036.1;51317.4;55074.1;51302.0;100300.0;7.24;1.0;21.18268816360259;265.2165203325127;-792.556414332018;-4821.047613041172;-0.9965169450103214;-0.7636098893641569;1
2021-03-27;55862.9;55033.8;56531.1;54010.2;73870.0;1.5;1.0;21.470034409530406;281.4124523202893;-3025.1518239252873;-5022.41321076385;-0.9802281938128122;-0.5532105140799035;1
2021-03-28;55765.2;55856.9;56504.2;54711.3;58710.0;-0.17;0.0;22.25542861048169;287.95128157056075;-4138.423664147259;-1452.4710742259394;-0.9513189286775108;-0.45474795570416526;0
2021-03-29;57616.2;55764.7;58392.6;54951.1;107910.0;3.32;1.0;23.513111567604824;282.28238414738513;-3984.049156564577;807.39596471282;-0.9771110254332885;-0.540499021324556;0
2021-03-30;58771.3;57614.6;59366.9;57077.1;86210.0;2.0;1.0;24.315589282017232;300.17400809681004;-4119.853916826175;6052.094023201338;-0.8645029051412718;-0.25588432554547424;1
2021-03-31;58763.7;58771.4;59795.6;56991.6;98060.0;-0.01;0.0;24.302914250496105;-34.03736668125026;-883.6967311727955;11816.26684607455;-0.5597334592876492;0.19016876545488545;1
2021-04-01;58718.3;58763.2;59406.5;58040.7;69040.0;-0.08;0.0;23.861559773722092;0.08925966903063909;2700.1130255524718;8002.04197676852;0.0015578744836711852;0.7082075067331682;1
2021-04-02;58977.3;58718.2;60134.9;58466.5;72370.0;0.44;1.0;23.563771022393446;32.30493915202439;3597.5231233299132;3801.311428624153;0.5344252127484811;0.9755534920455787;1
2021-04-03;57059.9;58976.8;59770.5;56906.7;68740.0;-3.25;0.0;23.246823836385985;63.62843796354417;4374.508470327901;1660.7298090055233;0.895932338390435;0.9476099822564514;1
2021-04-04;58199.9;57059.7;58464.8;56470.6;57210.0;2.0;1.0;22.657000017861176;80.83293842131218;4377.151684962852;-1719.2442265865843;0.9872280150689423;0.8107274022321231;1
2021-04-05;58993.4;58202.3;59205.1;56842.7;54130.0;1.36;1.0;21.8520725703246;104.28222313875114;3304.7324479992444;-3692.3139387256297;0.9690923198541381;0.5108096751920383;1
2021-04-06;57996.3;59169.0;59487.0;57403.3;77150.0;-1.69;0.0;20.94782495128598;129.06955932601164;2073.049355197798;-3637.7112006834036;0.7763813692657682;0.10332099790220418;1
2021-04-07;55948.7;57996.3;58627.7;55489.3;110690.0;-3.53;0.0;20.060812001533822;157.31763519649783;1120.1007248008452;-3688.4383981135657;0.38562207398127163;-0.37974091392499876;0
2021-04-08;58077.4;55948.0;58136.7;55721.6;64780.0;3.8;1.0;19.29443540475592;189.89598756314484;-441.45187948004303;-2856.031576638854;-0.17186011242110077;-0.8181094476664192;0
2021-04-09;58118.7;58076.8;58890.9;57686.0;59220.0;0.07;1.0;18.72190559921995;209.6659507243763;-913.5459028850332;-71.1123096074211;-0.4949423776157441;-0.9644004357892967;1
2021-04-10;59748.4;58127.4;61229.0;57900.0;103720.0;2.8;1.0;18.337077771202424;234.21775330968057;27.18007718749367;603.553680103482;-0.8112450313556471;-0.9870866779079461;1
2021-04-11;59978.7;59772.4;60667.1;59250.3;58200.0;0.39;1.0;18.041075388291297;243.33759399941584;-47.56237963734754;-1081.708066535191;-0.8936660117495909;-0.94921925056642;1
2021-04-12;59863.8;59982.1;61259.9;59569.2;81880.0;-0.19;0.0;17.773732245787926;245.88722959717114;-1132.5008875865649;-285.7714889446137;-0.9127431435899878;-0.9342839628701956;1
2021-04-13;63540.9;59863.6;63659.0;59839.4;126560.0;6.14;1.0;17.54495967151614;220.3863786235153;-694.492229051776;2112.3759124652406;-0.6479388362553253;-0.9967597839664968;1
2021-04-14;62980.4;63544.2;64778.0;61366.3;130430.0;-0.88;0.0;17.354978678725818;126.49892280490369;456.85580719606065;2522.3806035357466;0.803868043501099;0.14782800519623246;1
2021-04-15;63216.0;62978.6;63729.1;62067.5;76970.0;0.37;1.0;17.18629783565168;131.3321490806951;1358.556087516828;2836.0082912878556;0.7508936834981628;0.06397236037582345;1
2021-04-16;61379.7;63211.6;63518.5;60027.3;136850.0;-2.9;0.0;17.031508812157647;141.9496847061371;2479.797947513108;1401.987050267401;0.6163532433109434;-0.12099767471136297;1
2021-04-17;60041.9;61358.3;62509.1;59672.1;84080.0;-2.18;0.0;16.899124080408175;156.06520570413286;2039.04113387224;792.2158956229109;0.40569671563350357;-0.3594301823944723;1
2021-04-18;56207.1;60043.2;60362.1;51817.6;216810.0;-6.39;0.0;16.7580932010484;176.20554795844728;2999.422593861919;1098.1085918882923;0.06617728283192445;-0.6587623134728274;0
2021-04-19;55646.1;56208.1;57517.0;54272.3;117510.0;-1.0;0.0;16.542084568092797;202.20162014543322;3306.445462876269;-1899.135769070784;-0.37786696739158;-0.921874108948649;1
2021-04-20;56483.2;55645.1;57054.9;53422.5;115490.0;1.5;1.0;16.27443310673802;234.91522488784886;1931.6106085787267;-4263.548899971148;-0.818302481476459;-0.9850636056156282;1
2021-04-21;53820.2;56479.5;56764.4;53657.6;100260.0;-4.71;0.0;16.000183704973217;262.28436878384235;144.81406004699875;-5514.774050120442;-0.9909466092361519;-0.795638774695186;1
