Date;Price;Open;High;Low;Vol.;Percentage_diff;Target;Price_gold;Perc_diff_gold;Price_copper;Perc_diff_copper;Price_aluminium;Perc_diff_aluminium;Trend;Residuals
2014-11-30;374.9;376.3;381.1;372.6;11290.0;-0.36;0.0;1291.2;0.0;2.86;0.0;2005.0;0.0;376.25714285714287;1.9519861775723797
2014-12-01;378.6;374.9;383.6;373.0;19670.0;0.98;1.0;1332.5;3.2;2.93;2.45;2025.5;1.02;376.4;-10.626551237393544
2014-12-02;380.6;378.6;384.9;375.4;25290.0;0.54;1.0;1314.7;-1.34;2.913;-0.58;1976.5;-2.42;376.3999999999999;3.2612718918584447
2014-12-03;377.0;380.6;384.7;373.6;23510.0;-0.97;0.0;1325.8;0.84;2.893;-0.69;1970.0;-0.33;376.4;-27.212027427869593
2014-12-04;369.8;377.0;380.4;366.2;25330.0;-1.89;0.0;1324.2;-0.12;2.933;1.38;1992.25;1.13;376.62857142857143;16.314955298712697
2014-12-05;377.6;369.8;379.7;366.4;29990.0;2.11;1.0;1310.8;-1.01;2.925;-0.27;1979.5;-0.64;374.6857142857143;18.08777511547543
2014-12-06;376.3;377.6;380.3;372.0;11070.0;-0.36;0.0;1310.8;0.0;2.925;0.0;1979.5;0.0;370.6285714285714;5.622590181644391
2014-12-07;376.5;376.3;377.9;372.5;8810.0;0.06;1.0;1310.8;0.0;2.925;0.0;1979.5;0.0;366.4714285714285;13.337700463286794
2014-12-08;365.0;376.5;377.4;364.6;22920.0;-3.06;0.0;1314.4;0.27;2.91;-0.51;1962.0;-0.88;363.3142857142857;-11.140836951679278
2014-12-09;352.2;365.0;365.4;343.8;43830.0;-3.5;0.0;1350.2;2.72;2.946;1.24;1967.5;0.28;359.85714285714283;-8.595870965284503
2014-12-10;347.9;352.2;354.1;345.1;27130.0;-1.21;0.0;1345.5;-0.35;2.914;-1.09;1954.25;-0.67;355.8428571428571;-35.75488457072674
2014-12-11;347.7;347.9;367.1;337.8;51080.0;-0.07;0.0;1342.3;-0.24;2.941;0.93;1941.25;-0.67;351.97142857142853;18.872098155855575
2014-12-12;353.4;347.7;356.4;346.0;26850.0;1.65;1.0;1333.5;-0.66;2.946;0.17;1929.0;-0.63;349.1714285714285;19.402060829761176
2014-12-13;348.2;353.4;353.1;343.8;19540.0;-1.46;0.0;1333.5;0.0;2.946;0.0;1929.0;0.0;346.0285714285714;2.122590181644334
2014-12-14;349.4;348.2;351.6;344.6;12340.0;0.32;1.0;1333.5;0.0;2.946;0.0;1929.0;0.0;342.0428571428571;10.666271891858159
2014-12-15;345.4;349.4;351.2;343.6;22160.0;-1.14;0.0;1317.7;-1.18;2.898;-1.63;1914.75;-0.74;336.7;-4.126551237393601
2014-12-16;330.2;345.4;346.5;328.9;38590.0;-4.39;0.0;1302.0;-1.19;2.877;-0.72;1906.5;-0.43;331.61428571428564;-2.353013822427312
2014-12-17;320.0;330.2;335.7;314.3;61340.0;-3.09;0.0;1302.3;0.02;2.888;0.38;1920.75;0.75;329.0714285714285;-36.883455999298114
2014-12-18;310.3;320.0;325.6;303.4;60520.0;-3.02;0.0;1303.9;0.12;2.873;-0.52;1911.0;-0.51;325.24285714285713;8.200669584426997
2014-12-19;317.8;310.3;320.2;306.4;41710.0;2.4;1.0;1305.6;0.13;2.908;1.22;1907.0;-0.21;323.15714285714284;9.816346544046887
2014-12-20;330.4;317.8;332.6;316.0;29920.0;3.96;1.0;1305.6;0.0;2.908;0.0;1907.0;0.0;323.88571428571424;6.46544732450149
2014-12-21;322.6;330.4;332.0;320.1;20670.0;-2.34;0.0;1305.6;0.0;2.908;0.0;1907.0;0.0;324.2285714285714;1.6805576061438927
2014-12-22;330.8;322.6;335.3;319.9;35360.0;2.54;1.0;1289.7;-1.22;2.904;-0.14;1879.0;-1.47;325.47142857142853;-7.497979808822111
2014-12-23;335.3;330.8;339.3;328.0;24070.0;1.33;1.0;1289.7;0.0;2.902;-0.07;1867.5;-0.61;327.21428571428567;7.146986177572688
2014-12-24;322.4;335.3;336.3;320.6;21520.0;-3.83;0.0;1285.6;-0.32;2.874;-0.96;1858.5;-0.48;325.0571428571429;-30.469170285012517
2014-12-25;319.0;322.4;323.4;316.3;15390.0;-1.06;0.0;1285.6;0.0;2.874;0.0;1858.5;0.0;324.18571428571425;17.957812441569864
2014-12-26;330.0;319.0;332.9;316.4;23010.0;3.45;1.0;1285.6;0.0;2.874;0.0;1858.5;0.0;321.79999999999995;23.373489401189765
2014-12-27;315.3;330.0;330.7;312.0;21630.0;-4.44;0.0;1285.6;0.0;2.874;0.0;1858.5;0.0;318.37142857142857;-3.120266961212799
2014-12-28;316.5;315.3;322.8;310.5;20410.0;0.38;1.0;1285.6;0.0;2.874;0.0;1858.5;0.0;317.7714285714286;2.0377004632866687
2014-12-29;314.1;316.5;321.6;308.3;20360.0;-0.76;0.0;1292.9;-1.13;2.838;0.07;1857.0;-0.08;317.18571428571425;-15.912265523107822
2014-12-30;311.3;314.1;316.2;309.3;22780.0;-0.91;0.0;1311.9;1.47;2.869;1.09;1854.75;-0.12;315.07142857142856;-4.7101566795702015
2014-12-31;318.2;311.3;319.1;308.9;20500.0;2.24;1.0;1335.4;1.79;2.838;-1.08;1848.75;-0.32;311.04285714285714;-20.65488457072677
2015-01-01;314.9;318.2;321.4;313.5;12820.0;-1.05;0.0;1335.4;0.0;2.838;0.0;1848.75;0.0;303.6428571428571;34.400669584426986
2015-01-02;315.2;314.9;316.4;313.1;14730.0;0.1;1.0;1337.7;12.71;2.838;0.0;1828.0;-1.12;298.0285714285714;32.3449179726183
2015-01-03;287.1;315.2;315.8;284.9;47370.0;-8.91;0.0;1337.7;0.0;2.838;0.0;1828.0;0.0;293.8857142857143;-6.8345526754985215
2015-01-04;264.7;287.1;289.9;255.9;88770.0;-7.8;0.0;1337.7;0.0;2.838;0.0;1828.0;0.0;290.04285714285714;-22.033728108141887
2015-01-05;274.8;264.7;278.3;262.9;54990.0;3.82;1.0;1353.5;1.18;2.793;-1.59;1812.25;-0.86;285.4428571428572;-23.469408380250755
2015-01-06;282.3;274.8;285.1;271.5;21940.0;2.7;1.0;1362.2;0.64;2.804;0.39;1780.25;-1.77;281.5571428571428;-0.1958709652844678
2015-01-07;291.3;282.3;296.1;280.7;30670.0;3.21;1.0;1353.6;-0.63;2.796;-0.29;1783.5;0.18;279.6;-16.112027427869627
2015-01-08;282.7;291.3;292.7;279.0;20180.0;-2.97;0.0;1351.6;-0.15;2.807;0.39;1825.5;2.35;279.6142857142857;26.229241012998408
2015-01-09;288.0;282.7;290.6;277.3;20930.0;1.87;1.0;1357.4;0.43;2.791;-0.57;1804.25;-1.16;278.8285714285714;24.344917972618298
2015-01-10;273.4;288.0;289.3;272.0;14730.0;-5.08;0.0;1357.4;0.0;2.791;0.0;1804.25;0.0;270.1142857142857;3.2368758959300337
2015-01-11;264.8;273.4;278.0;263.8;15110.0;-3.14;0.0;1357.4;0.0;2.791;0.0;1804.25;0.0;252.0571428571428;16.051986177572488
