Date;Price;Open;High;Low;Vol.;Porcentage_diff;Target;ADX;ADX_MDI;ADX_MDM;ADX_DX;ADX_PDI;ADX_PDM;Aroondown;Aroonup;Aroon_Oscillator;MACD;MACDSIGNAL;MACDHIST;MOM;ROC;RSI;STOCHRSI_fastk;STOCHRSI_fastd;ULTOSC;WILLR;ADX_ET;ADXR_ET;MACD_ET;ROC_ET;STOCHRSI_fastk_ET;STOCHRSI_fastd_ET
2022-03-19;42233.0;41768.0;42386.0;41529.6;224590000.0;1.11;1.0;14.329795761744482;18.101252463299755;18.101252463299755;12.864527553982052;23.446126474741394;6756.930221812269;14.285714285714286;28.571428571428573;14.285714285714286;186.47437355061265;-153.7966655496195;340.27103910023214;304.0;0.007250351785160629;59.87900265915199;100.0;97.84247535203446;60.716664374740205;-5.70345754611306;Mantener_posicion;Mantener_posición;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion
2022-03-20;41276.0;42241.0;42301.0;40922.0;308450000.0;-2.27;0.0;13.80739759314053;19.373429226641548;19.373429226641548;7.016221401289166;22.297127764274606;6274.292348825678;7.142857142857143;21.42857142857143;14.285714285714286;237.01693778437038;-75.63394488282151;312.6508826671919;1859.699999999997;0.04718098857579217;54.551176430133395;7.539573083952527;69.17985769465109;62.699831367794154;-23.56993503099096;Mantener_posicion;Mantener_posición;Mantener_posicion;Mantener_posicion;Vender;Vender
2022-03-21;41022.0;41282.0;41532.0;40530.0;406620000.0;-0.62;0.0;13.056677761160387;20.102759411781413;20.102759411781413;3.2973199454185;21.47366721969332;5826.128609623845;0.0;14.285714285714286;14.285714285714286;253.65265691014793;-9.776624524227614;263.4292814343755;2291.800000000003;0.05917346153647549;53.156382087205614;0.0;35.846524361317755;59.796642030204424;-30.72886061072725;Mantener_posicion;Mantener_posición;Mantener_posicion;Mantener_posicion;Mantener_posición;Mantener_posición
2022-03-22;42373.0;41022.0;43327.9;40893.0;537060000.0;3.29;1.0;13.370534606514068;18.3310990509165;18.3310990509165;17.450673596111937;26.081374919441924;7205.876566079286;35.714285714285715;100.0;64.28571428571429;371.56779118919803;66.49225861845751;305.0755325707405;3558.699999999997;0.09168528094027194;59.30559932802366;97.77912393975262;35.10623234123529;59.28463533131716;-16.680932832561822;Mantener_posicion;Mantener_posición;Mantener_posicion;Mantener_posicion;Comprar;Mantener_posición
2022-03-23;42912.0;42373.0;43027.0;41795.0;433960000.0;1.27;1.0;13.661973105771057;17.491141741075637;17.491141741075637;17.450673596111926;24.886288828125966;6691.171097073623;28.571428571428573;92.85714285714286;64.28571428571429;502.71420361650235;153.73664761806648;348.97755599843583;5119.5999999999985;0.13546639006784428;61.54344771096875;100.0;65.92637464658445;58.24664733420132;-7.2652633417766;Mantener_posicion;Mantener_posición;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posición
2022-03-24;44013.0;42911.0;44251.0;42658.0;491660000.0;2.57;1.0;14.54400394925223;16.44204782538512;16.44204782538512;26.010404914507486;28.00216843606862;7437.230304425507;21.42857142857143;100.0;78.57142857142857;687.56436487873;260.50219107019916;427.0621738085308;4341.9000000000015;0.10944743150555446;65.81064702660566;100.0;99.25970797991778;62.92688477406848;-3.5802394849268917;Mantener_posicion;Mantener_posición;Mantener_posicion;Mantener_posicion;Mantener_posicion;Comprar
2022-03-25;44331.0;44013.0;45112.0;43622.0;494090000.0;0.72;1.0;15.747938739929369;15.505281967832108;15.505281967832108;31.399091018732168;29.6990227508298;7766.999568395114;14.285714285714286;100.0;85.71428571428572;849.9220198291514;378.38615682198963;471.53586300716177;5045.300000000003;0.12842586488213276;66.98626060290623;100.0;100.00000000000023;60.976519567426166;-10.401406387342517;Mantener_posicion;Mantener_posición;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion
2022-03-26;44548.0;44331.0;44818.0;44090.0;196300000.0;0.49;1.0;16.865878188415284;15.05399104927177;15.05399104927177;31.39909101873216;28.834614139275843;7212.21388493832;7.142857142857143;92.85714285714286;85.71428571428572;984.7501310315638;499.6589516639045;485.0911793676593;3429.300000000003;0.08340001021433079;67.825104144386;100.0;100.00000000000023;60.47865078397463;-7.51138694297206;Mantener_posicion;Mantener_posición;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion
2022-03-27;46859.0;44542.0;46947.0;44445.0;388790000.0;5.19;1.0;18.750568476283973;13.59000435033775;13.59000435033775;43.25154221857694;34.30558570316505;8826.055750299869;0.0;100.0;100.0;1263.5157437282614;652.4303100767759;611.0854336514856;5944.199999999997;0.1452823917017802;75.26274830394723;100.0;100.00000000000023;70.26062572837643;-0.9428504082113698;Mantener_posicion;Mantener_posición;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion
2022-03-28;47105.0;46859.0;48199.0;46672.0;610270000.0;0.52;1.0;20.90041906783082;12.773547177345549;12.773547177345549;48.848476757939814;37.170409005145174;9447.623196707022;0.0;100.0;100.0;1487.1467423512731;819.3735965316753;667.7731458195979;5337.199999999997;0.12778264596172162;75.9210846294913;100.00000000000001;100.00000000000023;66.00817375413303;-10.964011184494042;Mantener_posicion;Mantener_posición;Mantener_posicion;Mantener_posicion;Mantener_posicion;Mantener_posicion
