Date;Price;Open;High;Low;Vol.;Porcentage_diff;Target;Price_gold;Perc_diff_gold;Price_silver;Perc_diff_silver;Price_copper;Perc_diff_copper;Price_aluminium;Perc_diff_aluminium;Price_platinum;Perc_diff_platinum;Price_palladium;Perc_diff_palladium
2015-10-21;267.1;269.8;272.2;263.5;59640.0;-0.98;0.0;1166.8;-0.88;15.71;-1.3;2.3795;-0.27;1516.0;-1.88;1004.4;-1.6;677.15;-2.55
2015-10-22;274.4;267.1;278.7;266.8;93150.0;2.74;1.0;1165.8;-0.09;15.837;0.81;2.3995;0.84;1491.5;-1.62;1011.25;0.68;685.6;1.25
2015-10-23;276.9;274.4;279.8;273.2;69320.0;0.91;1.0;1162.5;-0.28;15.827;-0.06;2.3715;-1.17;1498.0;0.44;1002.6;-0.86;693.85;1.2
2015-10-24;282.6;276.9;283.0;277.0;60130.0;2.04;1.0;1162.5;0.0;15.827;0.0;2.3715;0.0;1498.0;0.0;1002.6;0.0;693.85;0.0
2015-10-25;287.9;282.6;295.6;281.8;113900.0;1.88;1.0;1162.5;0.0;15.827;0.0;2.3715;0.0;1498.0;0.0;1002.6;0.0;693.85;0.0
2015-10-26;285.1;287.9;287.6;279.6;73210.0;-0.94;0.0;1165.9;0.29;15.905;0.41;2.3745;0.13;1480.0;-1.2;997.55;-0.58;683.9;-1.43
2015-10-27;294.7;285.1;298.4;285.1;105870.0;3.34;1.0;1165.4;-0.04;15.863;-0.26;2.384;0.4;1476.75;-0.22;986.65;-1.09;678.75;-0.75
2015-10-28;303.5;294.7;307.5;294.0;116410.0;3.01;1.0;1175.7;0.88;16.293;2.71;2.3875;0.15;1484.75;0.54;1000.65;1.42;686.1;1.08
2015-10-29;313.6;303.5;318.5;300.2;138920.0;3.32;1.0;1147.3;-2.42;15.567;-4.46;2.3575;-1.26;1472.25;-0.84;992.65;-0.8;670.8;-2.23
2015-10-30;327.1;313.6;334.9;310.8;156490.0;4.3;1.0;1141.4;-0.51;15.584;0.11;2.3475;-0.42;1479.75;0.51;987.35;-0.53;677.25;0.96
2015-10-31;311.2;327.1;333.3;304.6;105830.0;-4.85;0.0;1141.4;0.0;15.584;0.0;2.3475;0.0;1479.75;0.0;987.35;0.0;677.25;0.0
2015-11-01;323.0;311.2;324.3;304.7;73710.0;3.76;1.0;1141.4;0.0;15.584;0.0;2.3475;0.0;1479.75;0.0;987.35;0.0;677.25;0.0
2015-11-02;359.3;323.0;365.8;319.8;223100.0;11.25;1.0;1135.9;-0.48;15.425;-0.52;2.3505;0.13;1494.5;1.0;977.15;-0.88;650.35;-3.97
